artist_id,artist_name,song_id,song_name,count,totalMsPlayed,year_month
1SJOL9HJ08YOn92lFcYf8a,Shankar Mahadevan,0og9wKFGgFFNQnrBe7eisG,Uff Teri Adaa,4,608716,2025-08
1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,1wnozUBSe7OMpmZiTPJC5j,"Tum Tak (From ""Raanjhanaa"")",1,304466,2025-09
1yzgJmZf5CxtFfGfRFm4Si,Gajendra Verma,0mwAlZqPUWpZJIut93y40W,Mann Mera,3,769868,2025-08
3ozYqVCLohfpXIhalkhM8D,Aditya Rikhari,0eLtIxPRNJfsmehITZ1qaJ,Sahiba,3,380196,2025-08
61JrslREXq98hurYL2hYoc,Lata Mangeshkar,46vtbOdgiQHYQgBRwn1sYr,"Tum Aa Gaye Ho Noor Aa Gaya (From ""Aandhi"")",1,252360,2025-08
6WPmTGeeoymoVlXVtsCwz7,Kavita Krishnamurthy,34T36Plbl0NGxN4YSqZ1Vd,"Sunta Hai Mera Khuda (From ""Pukar"")",2,397381,2025-09
5ixQ5hSywFLUaxoaA0uVaH,Anand Raj Anand,0ni2c6UuZvT6RqKDma5RBH,Kiya Kiya,1,302210,2025-08
6Mv8GjQa7LKUGCAqa9qqdb,Vishal-Shekhar,6ZoCBDOB308GqUdt2AJrV2,Dildaara (Stand By Me),1,249660,2025-08
5GnnSrwNCGyfAU4zuIytiS,Mohit Chauhan,0Sn3sVJVbD9SA5j0xprLX2,Hafiz Hafiz,1,339420,2025-08
0kJO65h553i1iGsZutBuqz,Adnan Sami,14uXhHNINQqjl2hngD21s9,Tera Chehra,1,392338,2025-08
3wZBspj86lRk2XLf4gfnSE,Shruti Pathak,0ErXZ1NMqOEFGJPQvU9OKF,Mar Jawaan,1,236286,2025-08
1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,3vjkllvtOIKpVvXSWsu1ta,Tu Hai,1,238570,2025-09
1wRPtKGflJrBx9BmLsSwlU,Pritam,18YHbIhrleUkKKj2DvEp79,Zara Sa,1,303680,2025-08
2oSONSC9zQ4UonDKnLqksx,Atif Aslam,0KSOLEBixnBYIKNHF1VbzF,Hona Tha Pyar,1,400214,2025-08
