artist_id,artist_name,song_id,song_name,count,totalMsPlayed,year_month,danceability,energy,valence,tempo,acousticness,instrumentalness,liveness,speechiness,genres
1wRPtKGflJrBx9BmLsSwlU,Pritam,10rTRsKQDEke6Dd1Qj57Jd,Toh Phir Aao,1,263695,2025-08,,,,,,,,,
0GF4shudTAFv8ak9eWdd4Y,Kishore Kumar,5r1BxH58zZpdj51nVRXb2o,Yeh Jo Mohabbat Hai,1,247756,2025-08,,,,,,,,,
0GF4shudTAFv8ak9eWdd4Y,Kishore Kumar,1L5Pw7r8NIimfqlkszMouq,"Ek Ladki Bheegi Bhagi Si (From ""Chalti Ka Naam Gaadi"")",1,236800,2025-08,0.563,0.455,0.892,120.784,0.808,0.0,0.154,0.0551,"bangla pop, ghazal, hindi pop, bollywood"
5GnnSrwNCGyfAU4zuIytiS,Mohit Chauhan,0Sn3sVJVbD9SA5j0xprLX2,Hafiz Hafiz,1,339420,2025-08,0.577,0.727,0.362,98.973,0.0582,9.01e-06,0.104,0.042,"bollywood, hindi pop, sufi, desi"
1W8O3VMkoLKHlnPtojVU8l,Kshitij Tarey,6f29DQmAlN5w8HToKGL5Ux,Javeda Zindagi Tose Naina Lage - Jhankar Beats,1,502520,2025-08,0.63,0.779,0.497,129.933,0.345,8.78e-06,0.101,0.0391,"sufi, marathi pop, bollywood, qawwali"
1mBydYMVBECdDmMfE2sEUO,Sachin-Jigar,1vc2yiUsaDbAjcXQp5qM8A,Saibo,3,585525,2025-08,0.62,0.433,0.59,90.002,0.75,1.14e-05,0.165,0.0281,"gujarati pop, bollywood, hindi pop, desi, gujarati garba"
0L5GV6LN8SWWUWIdBbTLTZ,Shankar-Ehsaan-Loy,4Qu8LlchmRCaPBKBArcNsA,Tere Naina,1,278546,2025-08,0.522,0.74,0.732,92.618,0.558,0.0,0.144,0.0465,"bollywood, sufi, desi, hindi pop"
1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,1SdFBc40uBU5Pqylo05VIC,Rang De Basanti,1,363800,2025-08,0.848,0.925,0.69,105.006,0.054,0.104,0.209,0.0767,"tamil pop, kollywood, sufi, bollywood, hindi pop, desi, tamil dance"
3gBKY0y3dFFVRqicLnVZYz,Alka Yagnik,6NfXjIsNGXaRaDzdbdxY4m,Jo Bhi Kasmein,1,339840,2025-08,0.627,0.668,0.732,108.042,0.564,0.0,0.0617,0.0373,"bollywood, hindi pop, desi"
4oVMLzAqW6qhRpZWt8fNw4,Kailash Kher,2vR23BjIzpLMtzsyKrM6Mb,Saiyyan,2,687812,2025-08,0.473,0.562,0.316,74.653,0.65,0.000117,0.12,0.0451,"sufi, bhajan, bollywood, qawwali, hindi pop, devotional"
61JrslREXq98hurYL2hYoc,Lata Mangeshkar,7cr5lQztWig7PqlEEnV4Pp,TUJHSE NARAZ NAHIN ZINDAGI,1,220106,2025-08,0.611,0.292,0.65,96.937,0.308,0.00256,0.185,0.0283,"ghazal, bollywood, bhajan, hindi pop, marathi pop"
2qV4ArHDzLVSdX6GWy5R1z,Vaibhav Bundhoo,5sJEWKNswsdDLZ9zBBYdPf,Tere Jaisa,1,311827,2025-08,0.51,0.22,0.23,168.05,0.91,0,0.09,0.05,"hindi indie, indian indie"
1wRPtKGflJrBx9BmLsSwlU,Pritam,4rSmmC6OYmjVOYxr8ruVWN,Mere Bina,1,289560,2025-08,0.511,0.767,0.463,79.923,0.651,0.0,0.153,0.0524,"bollywood, hindi pop, desi, sufi"
3wZBspj86lRk2XLf4gfnSE,Shruti Pathak,0ErXZ1NMqOEFGJPQvU9OKF,Mar Jawaan,1,236286,2025-08,0.594,0.683,0.717,149.894,0.642,0.14,0.259,0.0323,"gujarati garba, bollywood, gujarati pop, desi, hindi pop"
1bTROl5p3rGTpvKeWnGgrw,Sohail Sen,1ocYa8PoVd5e2vPn0xHJcA,Saiyaara,1,252160,2025-08,0.659,0.665,0.692,93.012,0.456,0.000486,0.0898,0.0266,"bollywood, hindi pop, desi"
1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,3vjkllvtOIKpVvXSWsu1ta,Tu Hai,1,238570,2025-09,0.499,0.541,0.381,81.198,0.744,0.00167,0.0579,0.0448,"tamil pop, kollywood, sufi, bollywood, hindi pop, desi, tamil dance"
61JrslREXq98hurYL2hYoc,Lata Mangeshkar,46vtbOdgiQHYQgBRwn1sYr,"Tum Aa Gaye Ho Noor Aa Gaya (From ""Aandhi"")",1,252360,2025-08,0.409,0.337,0.473,109.972,0.971,5.67e-06,0.113,0.0306,"ghazal, bollywood, bhajan, hindi pop, marathi pop"
0DoAmjaArtujfigIshqsj6,Meenal Jain,5ddyGm1vv1smGVoflDtyYV,Gayee Kaam Se,1,253676,2025-08,0.599,0.828,0.569,100.985,0.355,0.0,0.133,0.0546,"sufi, bhajan, marathi pop"
5Uvn1P3OFu268QovsUAnDu,Madan Mohan,7fyIuR4aaWb6iltlAoSkxF,Do Pal,1,265926,2025-09,0.247,0.556,0.371,168.823,0.635,0.000436,0.146,0.0376,"bollywood, sufi, qawwali"
1yzgJmZf5CxtFfGfRFm4Si,Gajendra Verma,0mwAlZqPUWpZJIut93y40W,Mann Mera,3,769868,2025-08,0.535,0.765,0.373,191.827,0.054,0.0,0.0921,0.0444,"hindi pop, bollywood"
5ixQ5hSywFLUaxoaA0uVaH,Anand Raj Anand,0ni2c6UuZvT6RqKDma5RBH,Kiya Kiya,1,302210,2025-08,0.702,0.897,0.911,120.007,0.11,4.81e-06,0.107,0.0329,"bollywood, desi"
1SyKki7JI1AZNKwgNMkn25,Sachet-Parampara,0OLTYqD8FpjkLsxJmdWmgi,"Humsafar (From ""Saiyaara"")",1,2524,2025-08,0.368,0.774,0.534,160.044,0.445,0.0,0.241,0.0874,"bhajan, hindi pop, devotional, bollywood"
6WPmTGeeoymoVlXVtsCwz7,Kavita Krishnamurthy,34T36Plbl0NGxN4YSqZ1Vd,"Sunta Hai Mera Khuda (From ""Pukar"")",2,397381,2025-09,0.592,0.575,0.837,155.969,0.0916,2.31e-05,0.057,0.0591,"bollywood, gujarati garba, hindi pop, bhajan, desi"
2oSONSC9zQ4UonDKnLqksx,Atif Aslam,0KSOLEBixnBYIKNHF1VbzF,Hona Tha Pyar,1,400214,2025-08,0.687,0.542,0.782,102.994,0.571,0.0307,0.118,0.0307,"bollywood, hindi pop, desi, sufi, qawwali"
3gBKY0y3dFFVRqicLnVZYz,Alka Yagnik,3KVqw41sR0lTDtbDGWPtzf,Kitni Bechain Hoke,2,445120,2025-08,0.583,0.815,0.741,145.984,0.49,0.0026,0.192,0.0617,"bollywood, hindi pop, desi"
19MVxKZZdPj2X0F8pi0OCT,Sukhwinder Singh,2GTasAZimpxzNgE7aXFifI,Dard - E - Disco,1,268712,2025-08,0.837,0.839,0.679,107.025,0.0381,0.000193,0.301,0.0468,"bollywood, desi, hindi pop"
5GnnSrwNCGyfAU4zuIytiS,Mohit Chauhan,5iyNH1Dmxif1k4Nl1gMeuh,Masakali,2,318768,2025-08,0.678,0.622,0.535,100.005,0.138,2.32e-06,0.122,0.0695,"bollywood, hindi pop, sufi, desi"
