vibe_cluster,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,filmi,modern bollywood,punjabi pop,bhangra,desi pop,classic pakistani pop,sufi,classic bollywood,afghan pop,chutney,qawwali,gujarati pop,lata,rabindra sangeet,hare krishna,indian classical,punjabi hip hop,desi hip hop,Unknown,indian instrumental,indian folk,odia pop,bhajan,hindi hip hop,marathi pop,pakistani pop,ghazal,desi trap,west bengali pop,indian indie,modern bhajan,hindi indie,indian singer-songwriter,tollywood,tamil pop,indian fusion,hip hop,pop,rock,country,metal,R&B,Dance/Electronic,latin,set(),acoustic,afrobeat,alt-rock,alternative,ambient,anime,black-metal,bluegrass,blues,brazil,breakbeat,british,cantopop,chicago-house,children,chill,classical,club,comedy,dance,dancehall,death-metal,deep-house,detroit-techno,disco,disney,drum-and-bass,dub,dubstep,edm,electro,electronic,emo,folk,forro,french,funk,garage,german,gospel,goth,grindcore,groove,grunge,guitar,happy,hard-rock,hardcore,hardstyle,heavy-metal,hip-hop,honky-tonk,house,idm,indian,indie,indie-pop,industrial,iranian,j-dance,j-idol,j-pop,j-rock,jazz,k-pop,kids,latino,malay,mandopop,metalcore,minimal-techno,mpb,new-age,opera,pagode,party,piano,pop-film,power-pop,progressive-house,psych-rock,punk,punk-rock,r-n-b,reggae,reggaeton,rock-n-roll,rockabilly,romance,sad,salsa,samba,sertanejo,show-tunes,singer-songwriter,ska,sleep,songwriter,soul,spanish,study,swedish,synth-pop,tango,techno,trance,trip-hop,turkish,world-music
0,0.5856328523489933,0.7415661409395973,-8.394598070469799,0.0711625922818792,0.11214977392953021,0.7887104865771812,0.17368772651006711,0.3415948053691275,126.84678741610739,0.0015100671140939597,0.0008389261744966443,0.00016778523489932885,0.0,0.0002516778523489933,0.0,0.0,0.00041946308724832214,0.0,8.389261744966443e-05,0.0,0.0,0.0,8.389261744966443e-05,0.0,0.0,8.389261744966443e-05,0.00016778523489932885,0.0006711409395973154,0.0,8.389261744966443e-05,0.0,0.0,0.0,0.0,0.00016778523489932885,0.0,8.389261744966443e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.389261744966443e-05,0.0,0.0002516778523489933,0.0014261744966442952,0.0015100671140939597,8.389261744966443e-05,0.004697986577181208,0.0002516778523489933,0.0009228187919463087,0.0003355704697986577,8.389261744966443e-05,0.000587248322147651,0.020385906040268457,0.0038590604026845637,0.0026845637583892616,0.008053691275167786,0.011577181208053691,0.0363255033557047,0.006711409395973154,0.0018456375838926174,0.000587248322147651,0.03557046979865772,0.006124161073825503,0.00016778523489932885,0.0438758389261745,0.0012583892617449664,0.0055369127516778525,0.0005033557046979866,0.031459731543624164,0.0,0.0005033557046979866,0.00016778523489932885,0.02307046979865772,0.0212248322147651,0.06459731543624161,0.006543624161073826,0.0022651006711409396,0.03104026845637584,0.006543624161073826,0.007130872483221477,0.0030201342281879194,0.0022651006711409396,0.021140939597315438,0.0018456375838926174,0.0013422818791946308,0.0,0.01023489932885906,0.00016778523489932885,0.014932885906040269,0.004530201342281879,0.00016778523489932885,0.009060402684563758,0.045973154362416106,0.011241610738255034,0.0026845637583892616,0.009228187919463088,0.02256711409395973,0.0030201342281879194,0.005369127516778523,0.011409395973154362,0.005620805369127517,0.0005033557046979866,0.0026845637583892616,0.003355704697986577,0.042197986577181205,0.0014261744966442952,0.003104026845637584,0.002348993288590604,0.016107382550335572,0.021895973154362418,0.0025167785234899327,0.0022651006711409396,0.00016778523489932885,0.0009228187919463087,0.0026006711409395974,0.0005033557046979866,0.0009228187919463087,0.00016778523489932885,0.0002516778523489933,0.00016778523489932885,0.0028523489932885905,0.07281879194630872,8.389261744966443e-05,0.0050335570469798654,0.0008389261744966443,0.0,0.0,0.000587248322147651,0.0,0.004026845637583893,0.019463087248322148,0.005453020134228188,0.0026006711409395974,0.0018456375838926174,0.00016778523489932885,0.0,0.0,0.0003355704697986577,0.0006711409395973154,0.00016778523489932885,0.0030201342281879194,0.0005033557046979866,8.389261744966443e-05,0.0,0.000587248322147651,0.0005033557046979866,0.0013422818791946308,0.004446308724832215,0.0005033557046979866,0.000587248322147651,0.001174496644295302,0.05125838926174497,0.0010906040268456375,0.004865771812080537,0.0020973154362416107,0.052684563758389265,0.04161073825503356,0.03246644295302013,0.0027684563758389263,0.0002516778523489933
1,0.47581080379679336,0.8119608589000675,-5.348255536990294,0.0818382345621956,0.0778806962924384,0.031067559180560988,0.19812279142521952,0.3792904881083579,139.89733972057306,0.013082583810302535,0.012442674819581214,0.00035550499484517757,7.110099896903551e-05,0.002630736961854314,0.0024529844644317253,0.0029151409577304562,0.0012798179814426393,0.00010665149845355327,0.0007465604891748729,0.00028440399587614204,0.0006399089907213197,0.00039105549432969536,0.0,0.0005332574922677664,0.00014220199793807102,0.0,0.0004977069927832486,0.0006043584912368019,0.0014931209783497457,0.00039105549432969536,0.0004266059938142131,3.5550499484517755e-05,0.00010665149845355327,0.00014220199793807102,0.0004266059938142131,0.00014220199793807102,0.00014220199793807102,0.00010665149845355327,0.0004977069927832486,0.00039105549432969536,0.0002488534963916243,0.00010665149845355327,0.00028440399587614204,0.00046215649329873083,0.0,0.0048348679298944154,0.020512638202566744,0.017810800241743398,0.010487397347932739,0.027196132105656086,0.002808489459276903,0.003981655942265989,0.004337160937111166,7.110099896903551e-05,0.004870418429378933,0.0025951864623697963,0.015500017775249742,0.014326851292260656,0.0014220199793807103,0.012229371822674109,0.01731309324896015,0.0031639944541220805,0.006114685911337054,0.007750008887624871,0.008496569376799745,0.005510327420100252,0.0046571154324718264,0.0011020654840200505,0.0015642219773187814,0.0027373884603078672,0.0004977069927832486,0.007465604891748729,0.00039105549432969536,0.00856767037576878,0.003057342955668527,0.02374773365565786,0.005936933413914465,0.0006754594902058374,0.0036972519463898466,0.0015286714778342636,0.01731309324896015,0.019410572718546695,0.025240854634007607,0.01347363930463223,0.00870987237370685,0.009456432862881723,0.013864694798961925,0.00586583241494543,0.003981655942265989,0.0036972519463898466,0.003946105442781471,0.01503786128195101,0.006008034412883501,0.012442674819581214,0.017170891251022075,0.01333143730669416,0.012264922322158627,0.025951864623697963,0.0004977069927832486,0.019055067723701517,0.019303921220093143,0.019126168722670554,0.02470759714173984,0.026094066621636033,0.0046571154324718264,0.0007110099896903551,0.011269508336592128,0.0028440399587614205,0.003661701446905329,0.006541291905151268,0.0066479434036048205,0.019268370720608625,0.007572256390202282,0.005119271925770557,0.019055067723701517,0.01187386682782893,0.0168153862561769,0.0008887624871129439,0.006327988908244161,0.001919726972163959,0.003341746951544669,0.005154822425255075,0.007572256390202282,0.030537879057200755,0.0008532119876284262,0.003661701446905329,0.0007465604891748729,0.0022752319670091363,0.001635322976287817,0.008780973372675886,0.005332574922677664,0.00458601443350279,0.01791745174019695,0.01489565928401294,0.0068256959010274095,0.019801628212876392,0.019623875715453803,0.0046571154324718264,0.003270645952575634,0.0035550499484517757,0.002488534963916243,0.005190372924739593,0.0009243129865974617,0.0034839489494827404,0.001955277471648477,0.0023107824664936544,0.0043016104376266484,0.0033061964520601514,0.00508372142628604,0.009669735859788831,0.0002488534963916243,0.00508372142628604,0.003092893455153045,0.008389917878346191,0.00017775249742258878,0.007821109886593907,0.008354367378861673,0.00021330299690710655,0.0054747769206157345,0.011767215329375377,0.003661701446905329,0.007038998897934516,0.015642219773187815
2,0.34737720069250233,0.17073509057131442,-21.148877746703956,0.051581875083233454,0.8638424575376216,0.7821133566027434,0.16381809828206154,0.18612041829804235,103.04707870555333,0.003062991077373818,0.0007990411506192569,0.0,0.0,0.0,0.0,0.00026634705020641894,0.0017312558263417232,0.0,0.0,0.0,0.0,0.00013317352510320947,0.00039952057530962844,0.00026634705020641894,0.00013317352510320947,0.0,0.0,0.00039952057530962844,0.00013317352510320947,0.0,0.0,0.0,0.0,0.0,0.0,0.0005326941004128379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026634705020641894,0.0,0.0,0.0,0.00026634705020641894,0.0,0.0043947263284059125,0.0007990411506192569,0.00026634705020641894,0.00013317352510320947,0.08842722066853109,0.020775069916100678,0.0029298175522706085,0.005593288054334798,0.0005326941004128379,0.00026634705020641894,0.00026634705020641894,0.019176987614862164,0.0,0.0,0.0057264615794380075,0.01531495538686909,0.09974697030230391,0.002263949926754561,0.00013317352510320947,0.0,0.0,0.0,0.00026634705020641894,0.0023971234518577705,0.0,0.05766413636968971,0.0,0.0005326941004128379,0.0005326941004128379,0.0,0.0005326941004128379,0.0023971234518577705,0.0014649087761353043,0.001997602876548142,0.0,0.008256758556398987,0.0,0.0015980823012385138,0.039552536955653216,0.0,0.0011985617259288853,0.00026634705020641894,0.0,0.00013317352510320947,0.06099347449726994,0.0,0.0,0.0,0.0,0.0,0.0,0.002796644027167399,0.0,0.035557331202556934,0.0023971234518577705,0.0005326941004128379,0.0007990411506192569,0.0005326941004128379,0.05846317752030896,0.00026634705020641894,0.0,0.0013317352510320948,0.00026634705020641894,0.011452923158876015,0.0,0.0,0.0,0.0,0.0,0.0,0.0017312558263417232,0.0006658676255160474,0.1038753495805034,0.042748701558130243,0.0,0.0,0.07444400053269411,0.00013317352510320947,0.0,0.0,0.005859635104541217,0.00013317352510320947,0.00013317352510320947,0.00013317352510320947,0.0,0.0,0.00013317352510320947,0.0006658676255160474,0.018111599414036488,0.008922626181915035,0.0,0.00039952057530962844,0.0,0.009854840857637501,0.002263949926754561,0.0,0.10334265548009056,0.002263949926754561,0.00039952057530962844,0.00026634705020641894,0.03049673724863497,0.0006658676255160474,0.00026634705020641894,0.0075908909308829405,0.0010653882008256758,0.0,0.003595685177786656,0.0010653882008256758,0.013450526035424158
3,0.5332159243441122,0.742521832861501,-7.559240756558878,0.19529325198291642,0.3551368548724832,0.05146437848200122,0.7460058572300183,0.5077967150701648,120.1764721171446,0.014887126296522269,0.0063453325198291645,0.0003660768761439902,0.00012202562538133008,0.0007321537522879804,0.0007321537522879804,0.0007321537522879804,0.009029896278218427,0.0,0.0021964612568639414,0.00024405125076266016,0.00012202562538133008,0.004148871262965223,0.00024405125076266016,0.0004881025015253203,0.0,0.0,0.0004881025015253203,0.0003660768761439902,0.0013422818791946308,0.0003660768761439902,0.0008541793776693106,0.00012202562538133008,0.0008541793776693106,0.00012202562538133008,0.00012202562538133008,0.00024405125076266016,0.0003660768761439902,0.0,0.00024405125076266016,0.0,0.00012202562538133008,0.0,0.0003660768761439902,0.0,0.00012202562538133008,0.006101281269066504,0.009151921903599756,0.0035387431360585724,0.0034167175106772424,0.005125076266015863,0.0015863331299572911,0.0015863331299572911,0.0031726662599145822,0.0,0.0017083587553386212,0.0074435631482611345,0.007321537522879805,0.004270896888346553,0.0004881025015253203,0.004758999389871873,0.005125076266015863,0.010494203782794387,0.004148871262965223,0.024405125076266018,0.0074435631482611345,0.0036607687614399025,0.005491153142159854,0.0019524100061012813,0.006589383770591825,0.0020744356314826113,0.0019524100061012813,0.006223306894447834,0.10152532031726663,0.003050640634533252,0.004881025015253203,0.005125076266015863,0.0034167175106772424,0.0025625381330079315,0.004636973764490543,0.0031726662599145822,0.006589383770591825,0.005857230018303843,0.006223306894447834,0.004636973764490543,0.0036607687614399025,0.005247101891397194,0.005369127516778523,0.004392922513727883,0.021110433190970102,0.005613178767541183,0.006467358145210494,0.005857230018303843,0.006589383770591825,0.023794996949359364,0.009640024405125076,0.008663819402074436,0.011958511287370348,0.008419768151311775,0.0012202562538133007,0.013300793166564979,0.009029896278218427,0.009029896278218427,0.010250152532031726,0.01525320317266626,0.006955460646735814,0.0025625381330079315,0.005125076266015863,0.0025625381330079315,0.0035387431360585724,0.0026845637583892616,0.0025625381330079315,0.008785845027455766,0.0026845637583892616,0.008175716900549116,0.004148871262965223,0.0032946918852959123,0.005857230018303843,0.0034167175106772424,0.0035387431360585724,0.005613178767541183,0.0029286150091519217,0.0029286150091519217,0.0015863331299572911,0.008053691275167786,0.0009762050030506406,0.03209273947528981,0.0025625381330079315,0.008419768151311775,0.058816351433801095,0.011714460036607687,0.0026845637583892616,0.0024405125076266015,0.006467358145210494,0.006467358145210494,0.006833435021354485,0.006955460646735814,0.010128126906650397,0.017327638804148872,0.005369127516778523,0.003050640634533252,0.007199511897498474,0.006467358145210494,0.005857230018303843,0.004636973764490543,0.006223306894447834,0.050396583282489325,0.04942037827943868,0.011104331909701037,0.0010982306284319707,0.017083587553386213,0.01415497254423429,0.0010982306284319707,0.005613178767541183,0.010738255033557046,0.0023184868822452714,0.0050030506406345335,0.004881025015253203,0.009395973154362415,0.0025625381330079315,0.006589383770591825,0.006223306894447834,0.004392922513727883,0.01549725442342892
4,0.7067005209001566,0.7228652587821713,-6.367718457314413,0.09302997870211183,0.2068171912809525,0.01728586015421724,0.164270411588104,0.6925069975109697,117.11198737522773,0.033820020014882865,0.03007364450488825,0.002360729773421262,0.0007954632932180339,0.005670883477457597,0.003412794128967694,0.004182597315952888,0.004901080290472403,0.0006928228682866747,0.002976572323009417,0.0013599856303405096,0.0011290446742449514,0.0007954632932180339,5.132021246567961e-05,0.00261733083574966,0.00010264042493135922,0.0005901824433553155,0.0024377100921197815,0.0016422467989017475,0.004464858484514126,0.0014369659490390291,0.0020528084986271844,0.00017962074362987864,0.0008981037181493932,0.00033358138102691743,0.0007954632932180339,0.00048754201842395625,0.0010007441430807524,2.5660106232839804e-05,0.00041056169972543687,0.00023094095609555823,0.0003849015934925971,0.00017962074362987864,0.0009494239306150728,0.00023094095609555823,0.00043622180595827666,0.01439531959662313,0.03941392317364194,0.012291190885530266,0.009263298350055169,0.004233917528418568,0.00803161325087886,0.006081445177183033,0.021811090297913834,0.00046188191219111646,0.0045161786969798055,0.013394575453542378,0.00908367760642529,0.010187062174437402,0.00023094095609555823,0.006620307408072669,0.00015396063739703882,0.007210489851427985,0.010546303661697159,0.008185573888275897,0.006928228682866747,0.006825588257935388,0.0031305329604064563,0.010956865361422596,0.013830797259500654,0.006261065920812913,0.00033358138102691743,0.006389366451977112,0.002976572323009417,0.017217931282235508,0.021374868491955558,0.00028226116856123784,0.01313797439121398,0.004131277103487208,0.01706397064483847,0.0026429909419825,0.0022580893484899027,0.006748607939236868,0.0022580893484899027,0.013497215878473736,0.012907033435118422,0.008134253675810218,0.008955377075261091,0.007621051551153422,0.017448872238331067,0.011495727592312233,0.017679813194426627,0.005593903158759077,0.008596135588001335,0.0018988478612301455,0.004798439865541043,5.132021246567961e-05,0.008262554206974417,0.002771291473146699,0.0030535526417079365,0.002206769136024223,0.006979548895332427,0.007928972825947499,0.0021811090297913834,0.0015139462677375484,0.018141695106617742,0.0033358138102691746,0.014985502039978445,0.0013343255241076697,0.008390854738138616,0.008698776012932693,0.009263298350055169,0.004541838803212645,5.132021246567961e-05,0.01734623181339971,0.00910933771265813,0.009263298350055169,0.007595391444920582,0.0023094095609555824,0.013779477047034975,0.020091863180313568,0.02219599189140643,0.010674604192861358,0.0035924148725975727,0.0007441430807523543,0.0019245079674629854,0.007672371763619101,0.0005132021246567961,7.698031869851941e-05,0.008673115906699854,0.016679069051345873,0.002899592004310898,0.010905545148956917,0.008339534525672937,0.0075697313386877425,0.008416514844371456,0.007364450488825024,0.007236149957660825,0.01300967386004978,0.021631469554283956,0.022221651997639272,0.00913499781889097,0.0130866541787483,0.0005132021246567961,0.008544815375535655,0.020014882861615048,0.009648199943547766,0.008159913782043058,0.0029509122167765776,0.004567498909445485,0.013959097790664853,0.0,0.004567498909445485,0.011059505786353955,0.012547791947858664,0.0010264042493135922,0.011136486105052475,0.013959097790664853,0.0014113058428061893,0.004131277103487208,0.0030022324292422573,0.007210489851427985,0.011136486105052475,0.0016165866926689076
5,0.5293927351618168,0.385623139277895,-10.516957445961546,0.05289656462720433,0.6747509633625254,0.026180968204689303,0.15923745073842602,0.3980395131563234,113.02390199434736,0.058397356793121295,0.0336770033040086,0.0014330639703833447,3.9807332510648464e-05,0.008837227817363959,0.0033040085983838223,0.004896301898809761,0.025516500139325663,0.00035826599259583617,0.006130329206639863,0.0012738346403407509,0.0020301739580430717,0.010548943115321842,0.0008359539827236177,0.003940925918554198,0.0006369173201703754,3.9807332510648464e-05,0.0009155686477449146,0.0024680546156602046,0.003702081923490307,0.0016321006329365869,0.001472871302893993,0.0005573026551490785,0.00011942199753194539,0.00039807332510648463,0.001194219975319454,0.0015126786354046416,0.00015922933004259386,0.0008757613152342662,0.0012340273078301023,0.00019903666255324231,0.0009553759802555631,0.0013932566378726961,0.00035826599259583617,0.00035826599259583617,0.00015922933004259386,0.001194219975319454,0.017276382309621433,0.008359539827236176,0.013295649058556586,0.0015126786354046416,0.0017515226304685323,0.0006767246526810239,0.002388439950638908,3.9807332510648464e-05,0.025198041479240475,0.003781696588511604,0.004060347916086143,0.005254567891405597,0.007443971179491262,0.00258747661319215,0.00039807332510648463,0.01679869431949365,0.0142112177063015,0.01011106245770471,0.00015922933004259386,0.01321603439353529,0.027865132757453923,0.00011942199753194539,0.012141236415747781,0.01914732693762191,0.00804108116715099,0.003901118586043549,0.0015922933004259385,0.002269017953106962,0.00155248596791529,0.00015922933004259386,0.0015126786354046416,0.0004378806576171331,0.004577843238724573,0.014649098363918634,3.9807332510648464e-05,0.002428247283149556,0.0024680546156602046,0.0008359539827236177,0.007603200509533856,0.00413996258110744,0.007324549181959317,0.018749253612515424,0.0013932566378726961,0.008677998487321365,0.005772063214044027,0.0048166872337884635,0.00362246725846901,0.015086979021535767,0.005334182556426894,7.961466502129693e-05,0.004020540583575495,0.002388439950638908,0.011504319095577406,0.0,0.0029855499382986346,0.000597109987659727,0.0,0.000597109987659727,0.003940925918554198,0.030890490028263207,0.0006767246526810239,0.0030651646033199313,0.020142510250388122,0.016480235659408465,0.01580351100672744,0.00051749532263843,0.002507861948170853,0.003224393933362525,0.0019107519605111262,0.01058875044783249,0.006767246526810239,0.029457426057879862,0.009951833127662115,0.004219577246128737,0.000597109987659727,0.016400620994387168,0.025158234146729828,0.00047768799012778154,0.00047768799012778154,0.013096612396003343,0.003901118586043549,0.02121730822817563,0.005334182556426894,0.00027865132757453926,0.005931292544086621,0.016918116317025597,0.0027865132757453922,3.9807332510648464e-05,0.012539309740854265,0.002667091278213447,0.002388439950638908,0.008638191154810716,0.0008359539827236177,0.00035826599259583617,0.020301739580430717,0.011066438437960272,0.03057203136817802,0.01703753831455754,0.004299191911150034,0.005652641216512082,0.00620994387166116,0.024680546156602045,0.025755344134389555,0.001114605310298157,0.0019107519605111262,0.025755344134389555,0.016957923649536244,0.0068070538593208866,0.0038215039210222524,0.011424704430556109,0.0048166872337884635,0.0310497193583058,0.001114605310298157,7.961466502129693e-05,0.006010907209107918,0.011583933760598701,0.01058875044783249
